"*",1,6,103,,
MFDN,MFADDRT,MFCN,MFIKEY,MFVDN,MFMTID,MFLINE,MFFAX,MFRBC,MFCMODE,MFSRESO,MFSHEET,MFSHEETC1,MFSHEETC2,MFPMAX,MFTMSND,MFTMSNDH,MFTMSNDM,MFMBOX,MFMBOXPS,MFMBOXID,MFRLY,MFRLYID,MFRLYPRN,MFRLYNUM,MFCHRGT1,MFCHRGT2,MFCHRGT3,MFFCODE,MFPCODE,MFSG3FRBT,MFMDMSPD,MFECMFRBT,MFEJBIGFRBT,MFRDTIMES,MFSNDLV,MFRCVLV,MFIFAX,MFTIFF,MFIFAXCMODE,MFIFAXSRESO,MFIFAXPMAX,MFIFAXTMSND,MFIFAXTMSNDH,MFIFAXTMSNDM,MFSN,MFGN,MFMAIL,MFAUX1,MFAUX2,MFAUX3,MFSVRT,MFSVRADDR,MFPORT1,MFPORT2,MFUSER,MFPASSWD,MFVOLUME,MFPATH,MFUSETLS,MFIPFAX,MFIPFAXCMODE,MFIPFAXSRESO,MFIPFAXSHEET,MFIPFAXSHEETC1,MFIPFAXSHEETC2,MFIPFAXPMAX,MFIPFAXTMSND,MFIPFAXTMSNDH,MFIPFAXTMSNDM,MFIPFAXMBOX,MFIPFAXMBOXPS,MFIPFAXMBOXID,MFIPFAXRLY,MFIPFAXRLYID,MFIPFAXRLYNUM,MFIPFAXRLYPRN,MFIPFAXCHRGT1,MFIPFAXCHRGT2,MFIPFAXCHRGT3,MFIPFAXFCODE,MFIPFAXPCODE,MFIPFAXSG3FRBT,MFIPFAXMDMSPD,MFIPFAXECMFRBT,MFIPFAXEJBIGFRBT,MFIPFAXRDTIMES,MFIPFAXSNDLV,MFIPFAXRCVLV,MFENCSTR
0001,INTERNETFAX,名古屋本社,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nagoya@[192.168.11.204],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,INTERNETFAX,ＹＲＣ,Ｙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yrc@[192.168.205.200],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,INTERNETFAX,ＮＲＣ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nrc@[192.168.203.200],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,INTERNETFAX,関西オフイス,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,osaka@[192.168.204.201],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,FAX,東北支店,,,,0,0223948772,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDIyMzk-ODc3Mgk=
0006,INTERNETFAX,ｏｒｃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orc@[192.168.204.204],1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,INTERNETFAX,グリーンアローズ中部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trc@[192.168.206.201],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,FAX,バイオエナジーセンター,,,,0,0526897584,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjg5NzU4NAk=
0009,FAX,ダイセキ・名古屋,た,,,0,0526110160,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjExMDE2MAk=
0010,FAX,ダイセキ・関東,た,,,0,0283227408,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDI4MzIyNzQwOAk=
0011,FAX,ダイセキ・千葉,た,,,0,0438640019,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQzODY-MDAxOQk=
0012,FAX,恵比須,か,,,0,0454441432,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ1NDQ-MTQzMgk=
0013,FAX,恵比須ＲＣ台貫,,,,0,0454510275,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ1NDUxMDI3NQk=
0014,FAX,池田商店,い,,,0,0459246026,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ1OTI-NjAyNgk=
0015,FAX,大塚たのめーる,,,,0,0356440373,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDM1NjQ-MDM3Mwk=
0016,FAX,オキ・コーポレーション,,,,0,0443286671,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ-MzI4NjY3MQk=
0017,FAX,岸野商店,き,,,0,0458011819,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ1ODAxMTgxOQk=
0018,FAX,後藤田商店,こ,,,0,0443663757,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ-MzY2Mzc1Nwk=
0019,FAX,後藤田商店（配車室）,こ,,,0,0443662424,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ-MzY2MjQyNAk=
0020,FAX,シグマテック　本社,,,,0,0356512202,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDM1NjUxMjIwMgk=
0021,FAX,システム機工,,,,0,0357304036,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDM1NzMwNDAzNgk=
0022,FAX,住友大阪セメント　環境部,す,,,0,032214708,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDMyMjE-NzA4CQ==
0023,FAX,タケエイ,,,,0,0363616846,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDM2MzYxNjg-Ngk=
0024,FAX,デイ・シイ　事務所,な,,,0,0442469079,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ-MjQ2OTA3OQk=
0025,FAX,デイ・シイ　川崎工場,て,,,0,0443227935,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ-MzIyNzkzNQk=
0026,FAX,デイ・シイ　関西,,,,0,0662643022,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDY2MjY-MzAyMgk=
0027,FAX,ティーエムハンズ　関東支店,,,,0,0429346721,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQyOTM-NjcyMQk=
0028,FAX,日興サービス,,,,0,0443291014,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ-MzI5MTAxNAk=
0029,FAX,間組　環境メンテ,は,,,0,35885912,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MzU4ODU5MTIJ
0030,FAX,三好環境,,,,0,0442222051,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQ-MjIyMjA1MQk=
0031,FAX,名古屋トランシップセンター,,,,0,0567-68-2501,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2Ny-2OC-yNTAxCQ==
0032,FAX,広島西日本営業所,,,,0,082-568-5672,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDgyLTU2OC-1NjcyCQ==
0033,FAX,グレープ現場,,,,0,0552695936,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU1MjY5NTkzNgk=
0034,FAX,グリーンアローズ九州,,,,0,0929576768,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDkyOTU3Njc2OAk=
0035,FAX,グリーンアローズ名港工場　,,,,0,0526592011,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjU5MjAxMQk=
0036,INTERNETFAX,ＤＥＳ弥富リサイクルセンター,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yatomi@[192.168.216.200],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037,INTERNETFAX,ＤＥＳ　ＰＣＢ事業部,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pcb2@[192.168.206.210],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038,FAX,コマツ教習所　東京センタ,こ,,,0,0426320637,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDQyNjMyMDYzNwk=
0039,SERVER,松永,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,ECOHN-49,,,eco,GXlEDiSTqdnVSghCA/p62A==,scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0048,FAX,名古屋本社外線,な,,,0,0526114022,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjExNDAyMgk=
0049,FAX,関西支社外線,か,,,0,0665551331,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDY2NTU1MTMzMQk=
0050,FAX,ｘｅｒｏｘ,,,,0,0120867455,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDEyMDg2NzQ1NQk=
0051,FAX,ゼロックス,,,,0,55415966,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTU-MTU5NjYJ
0401,SERVER,田村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,192.168.202.247,,,administrator,wi7Mt58UDEN9tBtybdHG9w==,des,\04　東北支店\東北\案件ファイル\scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0402,SERVER,玉置,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,ECOHN-60,,,eco,GXlEDiSTqdnVSghCA/p62A==,scan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0404,SERVER,鈴木（隆）,す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,des-svr,,,administrator,wi7Mt58UDEN9tBtybdHG9w==,DES,\10　本社\01　D推進室\00　個人フォルダ\鈴木隆治\活動ネタ\scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0407,SERVER,松岡（ノート）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,ecotn-24,,,eco,GXlEDiSTqdnVSghCA/p62A==,scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
