"*",1,6,103,,
MFDN,MFADDRT,MFCN,MFIKEY,MFVDN,MFMTID,MFLINE,MFFAX,MFRBC,MFCMODE,MFSRESO,MFSHEET,MFSHEETC1,MFSHEETC2,MFPMAX,MFTMSND,MFTMSNDH,MFTMSNDM,MFMBOX,MFMBOXPS,MFMBOXID,MFRLY,MFRLYID,MFRLYPRN,MFRLYNUM,MFCHRGT1,MFCHRGT2,MFCHRGT3,MFFCODE,MFPCODE,MFSG3FRBT,MFMDMSPD,MFECMFRBT,MFEJBIGFRBT,MFRDTIMES,MFSNDLV,MFRCVLV,MFIFAX,MFTIFF,MFIFAXCMODE,MFIFAXSRESO,MFIFAXPMAX,MFIFAXTMSND,MFIFAXTMSNDH,MFIFAXTMSNDM,MFSN,MFGN,MFMAIL,MFAUX1,MFAUX2,MFAUX3,MFSVRT,MFSVRADDR,MFPORT1,MFPORT2,MFUSER,MFPASSWD,MFVOLUME,MFPATH,MFUSETLS,MFIPFAX,MFIPFAXCMODE,MFIPFAXSRESO,MFIPFAXSHEET,MFIPFAXSHEETC1,MFIPFAXSHEETC2,MFIPFAXPMAX,MFIPFAXTMSND,MFIPFAXTMSNDH,MFIPFAXTMSNDM,MFIPFAXMBOX,MFIPFAXMBOXPS,MFIPFAXMBOXID,MFIPFAXRLY,MFIPFAXRLYID,MFIPFAXRLYNUM,MFIPFAXRLYPRN,MFIPFAXCHRGT1,MFIPFAXCHRGT2,MFIPFAXCHRGT3,MFIPFAXFCODE,MFIPFAXPCODE,MFIPFAXSG3FRBT,MFIPFAXMDMSPD,MFIPFAXECMFRBT,MFIPFAXEJBIGFRBT,MFIPFAXRDTIMES,MFIPFAXSNDLV,MFIPFAXRCVLV,MFENCSTR
0001,INTERNETFAX,［使用不可］名古屋本社,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nagoya@[192.168.11.204],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,INTERNETFAX,東京本社,と,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tokyo@[192.168.201.200],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,INTERNETFAX,横浜リサイクルセンター,よ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yrc@[192.168.205.200],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,INTERNETFAX,関西支社,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kansai@[192.168.204.201],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,INTERNETFAX,グリーンアローズ中部,く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trc@[192.168.206.201],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006,FAX,トップ,と,,,0,0526227554,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjIyNzU1NAk=
0007,FAX,木曽興業,き,,,0,0522018407,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyMjAxODQwNwk=
0008,FAX,三岐通運,さ,,,0,0594413738,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU5NDQxMzczOAk=
0009,FAX,相建,そ,,,0,0568683381,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2ODY4MzM4MQk=
0010,FAX,ダイキョウ,た,,,0,0562313611,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2MjMxMzYxMQk=
