"*",1,6,103,,
MFDN,MFADDRT,MFCN,MFIKEY,MFVDN,MFMTID,MFLINE,MFFAX,MFRBC,MFCMODE,MFSRESO,MFSHEET,MFSHEETC1,MFSHEETC2,MFPMAX,MFTMSND,MFTMSNDH,MFTMSNDM,MFMBOX,MFMBOXPS,MFMBOXID,MFRLY,MFRLYID,MFRLYPRN,MFRLYNUM,MFCHRGT1,MFCHRGT2,MFCHRGT3,MFFCODE,MFPCODE,MFSG3FRBT,MFMDMSPD,MFECMFRBT,MFEJBIGFRBT,MFRDTIMES,MFSNDLV,MFRCVLV,MFIFAX,MFTIFF,MFIFAXCMODE,MFIFAXSRESO,MFIFAXPMAX,MFIFAXTMSND,MFIFAXTMSNDH,MFIFAXTMSNDM,MFSN,MFGN,MFMAIL,MFAUX1,MFAUX2,MFAUX3,MFSVRT,MFSVRADDR,MFPORT1,MFPORT2,MFUSER,MFPASSWD,MFVOLUME,MFPATH,MFUSETLS,MFIPFAX,MFIPFAXCMODE,MFIPFAXSRESO,MFIPFAXSHEET,MFIPFAXSHEETC1,MFIPFAXSHEETC2,MFIPFAXPMAX,MFIPFAXTMSND,MFIPFAXTMSNDH,MFIPFAXTMSNDM,MFIPFAXMBOX,MFIPFAXMBOXPS,MFIPFAXMBOXID,MFIPFAXRLY,MFIPFAXRLYID,MFIPFAXRLYNUM,MFIPFAXRLYPRN,MFIPFAXCHRGT1,MFIPFAXCHRGT2,MFIPFAXCHRGT3,MFIPFAXFCODE,MFIPFAXPCODE,MFIPFAXSG3FRBT,MFIPFAXMDMSPD,MFIPFAXECMFRBT,MFIPFAXEJBIGFRBT,MFIPFAXRDTIMES,MFIPFAXSNDLV,MFIPFAXRCVLV,MFENCSTR
0001,INTERNETFAX,名古屋本社,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nagoya@[192.168.11.204],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,INTERNETFAX,東京本社,と,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tokyo@[192.168.201.200],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,INTERNETFAX,横浜リサイクルセンター,よ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yrc@[192.168.205.200],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,INTERNETFAX,関西支社,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kansai@[192.168.204.201],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,INTERNETFAX,グリーンアローズ中部,く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trc@[192.168.206.201],1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006,FAX,トップ,と,,,0,0526227554,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjIyNzU1NAk=
0007,FAX,木曽興業,き,,,0,0522018407,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyMjAxODQwNwk=
0008,FAX,三岐通運,さ,,,0,0594463523,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU5NDQ2MzUyMwk=
0009,FAX,相建,そ,,,0,0568683381,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2ODY4MzM4MQk=
0010,FAX,ダイキョウ,た,,,0,0562313611,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2MjMxMzYxMQk=
0011,FAX,星山興業,ほ,,,0,7940288,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nzk-MDI4OAk=
0012,FAX,エーテック,え,,,0,0526115661,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjExNTY2MQk=
0013,FAX,大西建設,お,,,0,0526013694,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjAxMzY5NAk=
0014,SERVER,ＥＣＯＮＲＣ１１,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,ECONRC11,,,ECO,GXlEDiSTqdnVSghCA/p62A==,scan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0015,FAX,Ｔ－ＴＥＣ,Ｔ,,,0,0526038741,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjAzODc-MQk=
0016,FAX,住友大阪セメント　本巣,す,,,0,0581342039,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU4MTM-MjAzOQk=
0017,FAX,スケールハウス,す,,,0,0526897658,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjg5NzY1OAk=
0018,FAX,マルアイ石灰,ま,,,0,0584710803,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU4NDcxMDgwMwk=
0019,FAX,グリーンアローズ中部,く,,,0,0526041558,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjA-MTU1OAk=
0020,FAX,九州支店,き,,,0,0937916332,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDkzNzkxNjMzMgk=
0021,FAX,ケイサポート,け,,,0,0562333071,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2MjMzMzA3MQk=
0022,FAX,フジ建材リース,ふ,,,0,0527721451,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNzcyMTQ1MQk=
0023,FAX,大西運輸,お,,,0,0526540866,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjU-MDg2Ngk=
0024,FAX,新栄重機,し,,,0,0568755708,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2ODc1NTcwOAk=
0025,FAX,大翔興業　刈谷,た,,,0,0566933716,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2NjkzMzcxNgk=
0026,FAX,伸栄科学,し,,,0,0528003050,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyODAwMzA1MAk=
0027,FAX,太平洋セメント中部,た,,,0,0522183326,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyMjE4MzMyNgk=
0028,FAX,太平洋セメント製造,た,,,0,0594462212,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU5NDQ2MjIxMgk=
0029,FAX,ダイワ,た,,,0,0527222266,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNzIyMjI2Ngk=
0030,FAX,おおしま（弁当屋）,,,,0,0528918155,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyODkxODE1NQk=
0031,FAX,ムラアーカム,,,,0,0567551200,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2NzU1MTIwMAk=
0032,FAX,セイブ工業,,,,0,0524321013,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNDMyMTAxMwk=
0033,FAX,アヴェイル,,,,0,0522030220,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyMjAzMDIyMAk=
