"*",1,6,103,,
MFDN,MFADDRT,MFCN,MFIKEY,MFVDN,MFMTID,MFLINE,MFFAX,MFRBC,MFCMODE,MFSRESO,MFSHEET,MFSHEETC1,MFSHEETC2,MFPMAX,MFTMSND,MFTMSNDH,MFTMSNDM,MFMBOX,MFMBOXPS,MFMBOXID,MFRLY,MFRLYID,MFRLYPRN,MFRLYNUM,MFCHRGT1,MFCHRGT2,MFCHRGT3,MFFCODE,MFPCODE,MFSG3FRBT,MFMDMSPD,MFECMFRBT,MFEJBIGFRBT,MFRDTIMES,MFSNDLV,MFRCVLV,MFIFAX,MFTIFF,MFIFAXCMODE,MFIFAXSRESO,MFIFAXPMAX,MFIFAXTMSND,MFIFAXTMSNDH,MFIFAXTMSNDM,MFSN,MFGN,MFMAIL,MFAUX1,MFAUX2,MFAUX3,MFSVRT,MFSVRADDR,MFPORT1,MFPORT2,MFUSER,MFPASSWD,MFVOLUME,MFPATH,MFUSETLS,MFIPFAX,MFIPFAXCMODE,MFIPFAXSRESO,MFIPFAXSHEET,MFIPFAXSHEETC1,MFIPFAXSHEETC2,MFIPFAXPMAX,MFIPFAXTMSND,MFIPFAXTMSNDH,MFIPFAXTMSNDM,MFIPFAXMBOX,MFIPFAXMBOXPS,MFIPFAXMBOXID,MFIPFAXRLY,MFIPFAXRLYID,MFIPFAXRLYNUM,MFIPFAXRLYPRN,MFIPFAXCHRGT1,MFIPFAXCHRGT2,MFIPFAXCHRGT3,MFIPFAXFCODE,MFIPFAXPCODE,MFIPFAXSG3FRBT,MFIPFAXMDMSPD,MFIPFAXECMFRBT,MFIPFAXEJBIGFRBT,MFIPFAXRDTIMES,MFIPFAXSNDLV,MFIPFAXRCVLV,MFENCSTR
0001,FAX,ダイセキ環境ソリューション本社,た,,1,0,0528195311,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyODE5NTMxMQk=
0002,SERVER,水野,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,ECOHN-102,,,ECO,GXlEDiSTqdnVSghCA/p62A==,scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,SERVER,久保田,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMB,ecok14,,,eco,GXlEDiSTqdnVSghCA/p62A==,SCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,FAX,ミノヤランチサービス,み,,4,0,0800-200-3835,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDgwMC-yMDAtMzgzNQk=
0005,FAX,木曽興業,き,,5,0,0522018407,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyMjAxODQwNwk=
0006,FAX,中野工業所,な,,6,0,052-613-2604,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyLTYxMy-yNjA-CQ==
0007,FAX,大洋化学工業（ヘリウム）,と,,7,0,0562-48-0055,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2Mi--OC-wMDU1CQ==
0008,FAX,ＮＲＣ,Ｎ,,8,0,0526897656,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyNjg5NzY1Ngk=
0009,FAX,伊勢久　名古屋南営業所,い,,9,0,0562471479,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU2MjQ3MTQ3OQk=
0010,FAX,宮崎（名港）,み,,10,0,0523836202,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDUyMzgzNjIwMgk=
0011,FAX,ヤマワ,や,,11,0,0572545100,0,0,0,0,,,0,0,,,0,,,0,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDU3MjU-NTEwMAk=
